model_name,mode,n,truncation_rate,informativeness_mean,informativeness_std,clarity_mean,clarity_std,plausibility_mean,plausibility_std,faithfulness_mean,faithfulness_std
aya-expanse:8b,reference_based,100,0.0,3.2625672459602355,0.5760754154375198,4.019412117004395,0.36738329411183085,4.043500874042511,0.37102701732605575,3.169426054954529,0.5129869278111719
aya-expanse:8b,source_grounded,100,0.04,3.2176035058498385,0.7720494540936415,3.821298687458038,0.6704023590310024,3.9535479950904846,0.6227676642144361,3.4180731797218322,0.7666642268744978
gemma4:e4b,reference_based,100,0.0,3.165998885631561,0.5645686934899283,3.945079267024994,0.3236045762354269,3.9995211386680602,0.31048270327798505,2.95850487947464,0.4227405304741865
gemma4:e4b,source_grounded,100,0.01,3.0080369520187378,0.7561874005405064,3.703181117773056,0.7003941089704792,3.840982354879379,0.6555475650670337,3.230929172039032,0.722645767996448
qwen3.5:9b,reference_based,100,0.0,3.2221131575107576,0.501163565834463,3.880421149730682,0.2621405422295914,3.96679936170578,0.2638650785887463,3.0019200921058653,0.3394259249950476
qwen3.5:9b,source_grounded,100,0.01,3.0995282638072967,0.7373204004147366,3.631054391860962,0.5679788965540459,3.792211537361145,0.534440719810743,3.192172305583954,0.6484535574090178
